valley_location,PPI
269.0,0.0
347.0,780.0
422.0,750.0
497.0,750.0
569.0,720.0
636.0,670.0
706.0,700.0
782.0,760.0
860.0,780.0
939.0,790.0
1018.0,790.0
1102.0,840.0
1187.0,850.0
1268.0,810.0
1342.0,740.0
1415.0,730.0
1490.0,750.0
1565.0,750.0
1638.0,730.0
1710.0,720.0
1785.0,750.0
1865.0,800.0
1944.0,790.0
2016.0,720.0
2090.0,740.0
2164.0,740.0
2238.0,740.0
2309.0,710.0
2383.0,740.0
2463.0,800.0
2539.0,760.0
2615.0,760.0
2687.0,720.0
2766.0,790.0
2843.0,770.0
2922.0,790.0
2993.0,710.0
3066.0,730.0
3138.0,720.0
3213.0,750.0
3288.0,750.0
3358.0,700.0
3432.0,740.0
3511.0,790.0
3594.0,830.0
3680.0,860.0
3753.0,730.0
3830.0,770.0
3901.0,710.0
3973.0,720.0
4042.0,690.0
4115.0,730.0
4184.0,690.0
4260.0,760.0
4342.0,820.0
4415.0,730.0
4494.0,790.0
4578.0,840.0
4660.0,820.0
4743.0,830.0
4816.0,730.0
4894.0,780.0
4970.0,760.0
5046.0,760.0
5120.0,740.0
5188.0,680.0
5261.0,730.0
5336.0,750.0
5410.0,740.0
5483.0,730.0
5560.0,770.0
5641.0,810.0
5726.0,850.0
5801.0,750.0
5881.0,800.0
5956.0,750.0
6031.0,750.0
6107.0,760.0
6177.0,700.0
6249.0,720.0
6322.0,730.0
6400.0,780.0
6475.0,750.0
6545.0,700.0
6616.0,710.0
6692.0,760.0
6766.0,740.0
6841.0,750.0
6912.0,710.0
6985.0,730.0
7060.0,750.0
7139.0,790.0
7214.0,750.0
7286.0,720.0
7358.0,720.0
7434.0,760.0
7507.0,730.0
7577.0,700.0
7647.0,700.0
7714.0,670.0
7790.0,760.0
7865.0,750.0
7943.0,780.0
8016.0,730.0
8092.0,760.0
8162.0,700.0
8235.0,730.0
8310.0,750.0
8381.0,710.0
8451.0,700.0
8519.0,680.0
8593.0,740.0
8670.0,770.0
8745.0,750.0
8820.0,750.0
8894.0,740.0
8968.0,740.0
9041.0,730.0
9110.0,690.0
9177.0,670.0
9245.0,680.0
9314.0,690.0
9385.0,710.0
9457.0,720.0
9528.0,710.0
9595.0,670.0
9663.0,680.0
9731.0,680.0
9803.0,720.0
9874.0,710.0
9942.0,680.0
10012.0,700.0
10084.0,720.0
10162.0,780.0
10242.0,800.0
10317.0,750.0
10391.0,740.0
10465.0,740.0
10541.0,760.0
10618.0,770.0
10686.0,680.0
10753.0,670.0
10824.0,710.0
10899.0,750.0
10974.0,750.0
11050.0,760.0
11124.0,740.0
11198.0,740.0
11275.0,770.0
11358.0,830.0
11440.0,820.0
