valley_location,PPI
500.0,0.0
599.0,990.0
694.0,950.0
781.0,870.0
863.0,820.0
947.0,840.0
1033.0,860.0
1125.0,920.0
1212.0,870.0
1296.0,840.0
1389.0,930.0
1483.0,940.0
1571.0,880.0
1657.0,860.0
1743.0,860.0
1827.0,840.0
1911.0,840.0
1997.0,860.0
2085.0,880.0
2183.0,980.0
2291.0,1080.0
2394.0,1030.0
2486.0,920.0
2579.0,930.0
2675.0,960.0
2767.0,920.0
2852.0,850.0
2936.0,840.0
3024.0,880.0
3124.0,1000.0
3224.0,1000.0
3316.0,920.0
3414.0,980.0
3507.0,930.0
3597.0,900.0
3680.0,830.0
3767.0,870.0
3856.0,890.0
3946.0,900.0
4028.0,820.0
4110.0,820.0
4196.0,860.0
4283.0,870.0
4374.0,910.0
4458.0,840.0
4545.0,870.0
4633.0,880.0
4726.0,930.0
4813.0,870.0
4895.0,820.0
4977.0,820.0
5060.0,830.0
5152.0,920.0
5241.0,890.0
5323.0,820.0
5409.0,860.0
5498.0,890.0
5587.0,890.0
5675.0,880.0
5760.0,850.0
5845.0,850.0
5931.0,860.0
6019.0,880.0
6106.0,870.0
6187.0,810.0
6272.0,850.0
6363.0,910.0
6452.0,890.0
6536.0,840.0
6616.0,800.0
6700.0,840.0
6784.0,840.0
6873.0,890.0
6955.0,820.0
7040.0,850.0
7124.0,840.0
7218.0,940.0
7311.0,930.0
7396.0,850.0
7478.0,820.0
7569.0,910.0
7659.0,900.0
7744.0,850.0
7819.0,750.0
7894.0,750.0
7971.0,770.0
8052.0,810.0
8134.0,820.0
8218.0,840.0
8302.0,840.0
8393.0,910.0
8486.0,930.0
8583.0,970.0
8672.0,890.0
8763.0,910.0
8857.0,940.0
8946.0,890.0
9029.0,830.0
9107.0,780.0
9193.0,860.0
9278.0,850.0
9367.0,890.0
9450.0,830.0
9535.0,850.0
9618.0,830.0
9702.0,840.0
9776.0,740.0
9847.0,710.0
9918.0,710.0
9989.0,710.0
10067.0,780.0
10156.0,890.0
10250.0,940.0
10340.0,900.0
10431.0,910.0
10524.0,930.0
10618.0,940.0
10706.0,880.0
10787.0,810.0
10869.0,820.0
10954.0,850.0
11044.0,900.0
11127.0,830.0
11211.0,840.0
11300.0,890.0
11396.0,960.0
11491.0,950.0
