valley_location,PPI
12.0,0.0
78.0,660.0
142.0,640.0
205.0,630.0
267.0,620.0
328.0,610.0
389.0,610.0
449.0,600.0
509.0,600.0
569.0,600.0
630.0,610.0
688.0,580.0
746.0,580.0
811.0,650.0
889.0,780.0
977.0,880.0
1056.0,790.0
1140.0,840.0
1236.0,960.0
1342.0,1060.0
1435.0,930.0
1528.0,930.0
1628.0,1000.0
1719.0,910.0
1798.0,790.0
1870.0,720.0
1949.0,790.0
2041.0,920.0
2125.0,840.0
2207.0,820.0
2304.0,970.0
2401.0,970.0
2498.0,970.0
2581.0,830.0
2667.0,860.0
2760.0,930.0
2859.0,990.0
2954.0,950.0
3040.0,860.0
3127.0,870.0
3213.0,860.0
3296.0,830.0
3373.0,770.0
3449.0,760.0
3536.0,870.0
3636.0,1000.0
3739.0,1030.0
3830.0,910.0
3926.0,960.0
4026.0,1000.0
4122.0,960.0
4207.0,850.0
4286.0,790.0
4370.0,840.0
4460.0,900.0
4556.0,960.0
4652.0,960.0
4748.0,960.0
4856.0,1080.0
4957.0,1010.0
5047.0,900.0
5126.0,790.0
5204.0,780.0
5283.0,790.0
5373.0,900.0
5457.0,840.0
5540.0,830.0
5648.0,1080.0
5707.0,590.0
5763.0,560.0
5855.0,920.0
5945.0,900.0
6039.0,940.0
6132.0,930.0
6232.0,1000.0
6319.0,870.0
6402.0,830.0
6489.0,870.0
6601.0,1120.0
6661.0,600.0
6715.0,540.0
6822.0,1070.0
6925.0,1030.0
7031.0,1060.0
7089.0,580.0
7144.0,550.0
7251.0,1070.0
7346.0,950.0
7450.0,1040.0
7558.0,1080.0
7655.0,970.0
7751.0,960.0
7812.0,610.0
7866.0,540.0
7922.0,560.0
7979.0,570.0
8081.0,1020.0
8175.0,940.0
8282.0,1070.0
8390.0,1080.0
8488.0,980.0
8586.0,980.0
8690.0,1040.0
8798.0,1080.0
8894.0,960.0
8980.0,860.0
9067.0,870.0
9175.0,1080.0
9236.0,610.0
9291.0,550.0
9399.0,1080.0
9505.0,1060.0
9613.0,1080.0
9670.0,570.0
9726.0,560.0
9834.0,1080.0
9941.0,1070.0
10058.0,1170.0
10164.0,1060.0
10263.0,990.0
10357.0,940.0
10461.0,1040.0
10565.0,1040.0
10666.0,1010.0
10763.0,970.0
10855.0,920.0
10947.0,920.0
