RRI_inf,PPI_inf,PPI_pix,label
816.40625,820.3125,860.0,0.0
789.0625,777.34375,780.0,0.0
734.375,742.1875,770.0,0.0
699.21875,699.21875,700.0,0.0
679.6875,675.78125,720.0,0.0
671.875,671.875,680.0,0.0
671.875,671.875,690.0,0.0
656.25,656.25,630.0,0.0
660.15625,660.15625,720.0,0.0
664.0625,656.25,680.0,0.0
675.78125,683.59375,680.0,0.0
707.03125,703.125,720.0,0.0
726.5625,726.5625,740.0,0.0
785.15625,781.25,800.0,0.0
800.78125,808.59375,820.0,0.0
781.25,777.34375,820.0,0.0
804.6875,804.6875,820.0,0.0
824.21875,824.21875,850.0,0.0
832.03125,832.03125,840.0,0.0
839.84375,839.84375,860.0,0.0
824.21875,828.125,830.0,0.0
781.25,781.25,820.0,0.0
742.1875,742.1875,740.0,0.0
750.0,746.09375,770.0,0.0
746.09375,750.0,770.0,0.0
777.34375,773.4375,800.0,0.0
808.59375,808.59375,820.0,0.0
839.84375,839.84375,850.0,0.0
804.6875,812.5,850.0,0.0
800.78125,792.96875,780.0,0.0
773.4375,773.4375,830.0,0.0
792.96875,792.96875,800.0,0.0
835.9375,835.9375,830.0,0.0
835.9375,835.9375,870.0,0.0
839.84375,839.84375,870.0,0.0
808.59375,812.5,840.0,0.0
796.875,796.875,800.0,0.0
742.1875,746.09375,770.0,0.0
742.1875,734.375,760.0,0.0
714.84375,714.84375,720.0,0.0
714.84375,714.84375,740.0,0.0
718.75,718.75,720.0,0.0
738.28125,738.28125,760.0,0.0
773.4375,773.4375,690.0,0.0
843.75,839.84375,950.0,0.0
898.4375,902.34375,930.0,0.0
898.4375,894.53125,920.0,0.0
875.0,882.8125,900.0,0.0
859.375,863.28125,880.0,0.0
832.03125,828.125,830.0,0.0
828.125,824.21875,870.0,0.0
828.125,832.03125,840.0,0.0
804.6875,804.6875,830.0,0.0
789.0625,789.0625,800.0,0.0
792.96875,789.0625,820.0,0.0
824.21875,828.125,830.0,0.0
832.03125,832.03125,870.0,0.0
875.0,871.09375,870.0,0.0
875.0,875.0,910.0,0.0
878.90625,882.8125,910.0,0.0
882.8125,878.90625,890.0,0.0
882.8125,882.8125,910.0,0.0
890.625,894.53125,920.0,0.0
847.65625,847.65625,860.0,0.0
878.90625,875.0,900.0,0.0
898.4375,898.4375,920.0,0.0
871.09375,878.90625,890.0,0.0
863.28125,859.375,880.0,0.0
839.84375,839.84375,860.0,0.0
851.5625,851.5625,860.0,0.0
843.75,839.84375,870.0,0.0
902.34375,902.34375,930.0,0.0
914.0625,914.0625,920.0,0.0
890.625,898.4375,930.0,0.0
878.90625,871.09375,880.0,0.0
851.5625,855.46875,880.0,0.0
839.84375,839.84375,860.0,0.0
800.78125,800.78125,810.0,0.0
820.3125,816.40625,850.0,0.0
851.5625,851.5625,860.0,0.0
875.0,871.09375,900.0,0.0
867.1875,871.09375,880.0,0.0
871.09375,867.1875,900.0,0.0
871.09375,875.0,880.0,0.0
835.9375,839.84375,870.0,0.0
859.375,851.5625,870.0,0.0
851.5625,855.46875,870.0,0.0
828.125,832.03125,860.0,0.0
785.15625,781.25,800.0,0.0
800.78125,800.78125,810.0,0.0
816.40625,812.5,840.0,0.0
824.21875,828.125,850.0,0.0
828.125,824.21875,840.0,0.0
859.375,859.375,880.0,0.0
859.375,863.28125,880.0,0.0
820.3125,824.21875,840.0,0.0
812.5,804.6875,820.0,0.0
792.96875,796.875,830.0,0.0
773.4375,777.34375,790.0,0.0
753.90625,750.0,770.0,0.0
781.25,777.34375,790.0,0.0
796.875,796.875,820.0,0.0
816.40625,816.40625,830.0,0.0
824.21875,828.125,850.0,0.0
894.53125,890.625,910.0,0.0
863.28125,863.28125,890.0,0.0
843.75,851.5625,860.0,0.0
828.125,824.21875,850.0,0.0
820.3125,820.3125,840.0,0.0
824.21875,824.21875,840.0,0.0
796.875,800.78125,820.0,0.0
808.59375,800.78125,830.0,0.0
777.34375,781.25,790.0,0.0
734.375,738.28125,750.0,0.0
687.5,691.40625,710.0,0.0
714.84375,699.21875,720.0,0.0
718.75,722.65625,740.0,0.0
746.09375,746.09375,770.0,0.0
761.71875,765.625,780.0,0.0
843.75,835.9375,850.0,0.0
871.09375,871.09375,890.0,0.0
906.25,914.0625,930.0,0.0
871.09375,871.09375,900.0,0.0
878.90625,878.90625,910.0,0.0
867.1875,863.28125,890.0,0.0
824.21875,832.03125,840.0,0.0
820.3125,816.40625,830.0,0.0
808.59375,808.59375,830.0,0.0
839.84375,835.9375,850.0,0.0
804.6875,812.5,840.0,0.0
855.46875,851.5625,860.0,0.0
902.34375,902.34375,930.0,0.0
914.0625,914.0625,920.0,0.0
937.5,933.59375,960.0,0.0
949.21875,953.125,980.0,0.0
980.46875,984.375,1010.0,0.0
941.40625,941.40625,950.0,0.0
