valley_location,PPI
207.0,0.0
275.0,680.0
336.0,610.0
402.0,660.0
462.0,600.0
521.0,590.0
590.0,690.0
658.0,680.0
724.0,660.0
793.0,690.0
859.0,660.0
921.0,620.0
986.0,650.0
1049.0,630.0
1116.0,670.0
1183.0,670.0
1252.0,690.0
1321.0,690.0
1383.0,620.0
1453.0,700.0
1519.0,660.0
1586.0,670.0
1649.0,630.0
1714.0,650.0
1779.0,650.0
1845.0,660.0
1913.0,680.0
1983.0,700.0
2051.0,680.0
2122.0,710.0
2190.0,680.0
2260.0,700.0
2324.0,640.0
2393.0,690.0
2461.0,680.0
2529.0,680.0
2599.0,700.0
2666.0,670.0
2734.0,680.0
2803.0,690.0
2872.0,690.0
2942.0,700.0
3006.0,640.0
3076.0,700.0
3145.0,690.0
3220.0,750.0
3288.0,680.0
3356.0,680.0
3426.0,700.0
3498.0,720.0
3564.0,660.0
3634.0,700.0
3704.0,700.0
3774.0,700.0
3843.0,690.0
3912.0,690.0
3983.0,710.0
4054.0,710.0
4126.0,720.0
4195.0,690.0
4265.0,700.0
4338.0,730.0
4409.0,710.0
4476.0,670.0
4544.0,680.0
4614.0,700.0
4682.0,680.0
4749.0,670.0
4815.0,660.0
4882.0,670.0
4950.0,680.0
5018.0,680.0
5087.0,690.0
5156.0,690.0
5224.0,680.0
5291.0,670.0
5360.0,690.0
5432.0,720.0
5504.0,720.0
5574.0,700.0
5641.0,670.0
5713.0,720.0
5780.0,670.0
5847.0,670.0
5912.0,650.0
5974.0,620.0
6038.0,640.0
6097.0,590.0
6161.0,640.0
6220.0,590.0
6281.0,610.0
6347.0,660.0
6414.0,670.0
6478.0,640.0
6542.0,640.0
6608.0,660.0
6675.0,670.0
6743.0,680.0
6810.0,670.0
6877.0,670.0
6942.0,650.0
7008.0,660.0
7074.0,660.0
7145.0,710.0
7212.0,670.0
7283.0,710.0
7351.0,680.0
7419.0,680.0
7486.0,670.0
7550.0,640.0
7616.0,660.0
7682.0,660.0
7749.0,670.0
7815.0,660.0
7881.0,660.0
7949.0,680.0
8017.0,680.0
8086.0,690.0
8157.0,710.0
8225.0,680.0
8293.0,680.0
8363.0,700.0
8430.0,670.0
8498.0,680.0
8564.0,660.0
8630.0,660.0
8696.0,660.0
8761.0,650.0
8829.0,680.0
8898.0,690.0
8967.0,690.0
9033.0,660.0
9100.0,670.0
9167.0,670.0
9236.0,690.0
9304.0,680.0
9372.0,680.0
9441.0,690.0
9510.0,690.0
9575.0,650.0
9640.0,650.0
9705.0,650.0
9772.0,670.0
9840.0,680.0
9907.0,670.0
9974.0,670.0
10041.0,670.0
10109.0,680.0
10172.0,630.0
10237.0,650.0
10305.0,680.0
10370.0,650.0
10434.0,640.0
10501.0,670.0
10567.0,660.0
10631.0,640.0
10699.0,680.0
10767.0,680.0
10835.0,680.0
10901.0,660.0
10969.0,680.0
11052.0,830.0
11126.0,740.0
11229.0,1030.0
11293.0,640.0
11359.0,660.0
11414.0,550.0
11493.0,790.0
