valley_location,PPI
54.0,0.0
115.0,610.0
179.0,640.0
244.0,650.0
311.0,670.0
374.0,630.0
436.0,620.0
495.0,590.0
557.0,620.0
616.0,590.0
674.0,580.0
732.0,580.0
793.0,610.0
853.0,600.0
910.0,570.0
970.0,600.0
1033.0,630.0
1092.0,590.0
1154.0,620.0
1214.0,600.0
1275.0,610.0
1336.0,610.0
1395.0,590.0
1455.0,600.0
1514.0,590.0
1574.0,600.0
1635.0,610.0
1693.0,580.0
1752.0,590.0
1809.0,570.0
1869.0,600.0
1925.0,560.0
1985.0,600.0
2043.0,580.0
2101.0,580.0
2160.0,590.0
2216.0,560.0
2274.0,580.0
2331.0,570.0
2390.0,590.0
2447.0,570.0
2501.0,540.0
2556.0,550.0
2610.0,540.0
2665.0,550.0
2722.0,570.0
2778.0,560.0
2835.0,570.0
2893.0,580.0
2955.0,620.0
3016.0,610.0
3082.0,660.0
3145.0,630.0
3210.0,650.0
3275.0,650.0
3336.0,610.0
3398.0,620.0
3461.0,630.0
3529.0,680.0
3596.0,670.0
3663.0,670.0
3725.0,620.0
3790.0,650.0
3855.0,650.0
3917.0,620.0
3984.0,670.0
4048.0,640.0
4111.0,630.0
4174.0,630.0
4239.0,650.0
4302.0,630.0
4362.0,600.0
4426.0,640.0
4488.0,620.0
4551.0,630.0
4615.0,640.0
4676.0,610.0
4738.0,620.0
4797.0,590.0
4858.0,610.0
4920.0,620.0
4984.0,640.0
5050.0,660.0
5119.0,690.0
5185.0,660.0
5251.0,660.0
5318.0,670.0
5389.0,710.0
5458.0,690.0
5526.0,680.0
5594.0,680.0
5662.0,680.0
5727.0,650.0
5794.0,670.0
5860.0,660.0
5925.0,650.0
5987.0,620.0
6050.0,630.0
6112.0,620.0
6175.0,630.0
6237.0,620.0
6300.0,630.0
6363.0,630.0
6430.0,670.0
6497.0,670.0
6562.0,650.0
6630.0,680.0
6701.0,710.0
6770.0,690.0
6839.0,690.0
6907.0,680.0
6975.0,680.0
7045.0,700.0
7112.0,670.0
7179.0,670.0
7248.0,690.0
7319.0,710.0
7388.0,690.0
7458.0,700.0
7524.0,660.0
7590.0,660.0
7656.0,660.0
7727.0,710.0
7792.0,650.0
7859.0,670.0
7929.0,700.0
7997.0,680.0
8065.0,680.0
8135.0,700.0
8204.0,690.0
8277.0,730.0
8346.0,690.0
8416.0,700.0
8487.0,710.0
8561.0,740.0
8630.0,690.0
8698.0,680.0
8766.0,680.0
8831.0,650.0
8895.0,640.0
8960.0,650.0
9021.0,610.0
9083.0,620.0
9149.0,660.0
9211.0,620.0
9280.0,690.0
9347.0,670.0
9416.0,690.0
9491.0,750.0
9556.0,650.0
9628.0,720.0
9702.0,740.0
9774.0,720.0
9844.0,700.0
9917.0,730.0
9987.0,700.0
10056.0,690.0
10122.0,660.0
10193.0,710.0
10263.0,700.0
10332.0,690.0
10400.0,680.0
10468.0,680.0
10538.0,700.0
10608.0,700.0
10681.0,730.0
10756.0,750.0
10832.0,760.0
10908.0,760.0
10984.0,760.0
11058.0,740.0
11134.0,760.0
11207.0,730.0
11280.0,730.0
11350.0,700.0
11423.0,730.0
11493.0,700.0
